age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit,age_group
59,admin.,married,secondary,no,2343.0,yes,no,unknown,5,may,1042,1,-1,0,unknown,yes,adult
56,admin.,married,secondary,no,45.0,no,no,unknown,5,may,1467,1,-1,0,unknown,yes,adult
41,technician,married,secondary,no,1270.0,yes,no,unknown,5,may,1389,1,-1,0,unknown,yes,second middle
55,services,married,secondary,no,2476.0,yes,no,unknown,5,may,579,1,-1,0,unknown,yes,adult
54,admin.,married,tertiary,no,184.0,no,no,unknown,5,may,673,2,-1,0,unknown,yes,adult
42,management,single,tertiary,no,0.0,yes,yes,unknown,5,may,562,2,-1,0,unknown,yes,second middle
56,management,married,tertiary,no,830.0,yes,yes,unknown,6,may,1201,1,-1,0,unknown,yes,adult
60,retired,divorced,secondary,no,545.0,yes,no,unknown,6,may,1030,1,-1,0,unknown,yes,old
37,technician,married,secondary,no,1.0,yes,no,unknown,6,may,608,1,-1,0,unknown,yes,first middle
28,services,single,secondary,no,550.0,yes,no,unknown,6,may,1297,3,-1,0,unknown,yes,young
38,admin.,single,secondary,no,100.0,yes,no,unknown,7,may,786,1,-1,0,unknown,yes,first middle
30,blue-collar,married,secondary,no,309.0,yes,no,unknown,7,may,1574,2,-1,0,unknown,yes,first middle
29,management,married,tertiary,no,199.0,yes,yes,unknown,7,may,1689,4,-1,0,unknown,yes,young
46,blue-collar,single,tertiary,no,460.0,yes,no,unknown,7,may,1102,2,-1,0,unknown,yes,second middle
31,technician,single,tertiary,no,703.0,yes,no,unknown,8,may,943,2,-1,0,unknown,yes,first middle
35,management,divorced,tertiary,no,3837.0,yes,no,unknown,8,may,1084,1,-1,0,unknown,yes,first middle
32,blue-collar,single,primary,no,611.0,yes,no,unknown,8,may,541,3,-1,0,unknown,yes,first middle
49,services,married,secondary,no,-8.0,yes,no,unknown,8,may,1119,1,-1,0,unknown,yes,second middle
41,admin.,married,secondary,no,55.0,yes,no,unknown,8,may,1120,2,-1,0,unknown,yes,second middle
49,admin.,divorced,secondary,no,168.0,yes,yes,unknown,8,may,513,1,-1,0,unknown,yes,second middle
28,admin.,divorced,secondary,no,785.0,yes,no,unknown,8,may,442,2,-1,0,unknown,yes,young
43,management,single,tertiary,no,2067.0,yes,no,unknown,8,may,756,1,-1,0,unknown,yes,second middle
43,management,divorced,tertiary,no,388.0,yes,no,unknown,8,may,2087,2,-1,0,unknown,yes,second middle
43,blue-collar,married,primary,no,-192.0,yes,no,unknown,8,may,1120,2,-1,0,unknown,yes,second middle
37,unemployed,single,secondary,no,381.0,yes,no,unknown,8,may,985,2,-1,0,unknown,yes,first middle
35,blue-collar,single,secondary,no,40.0,yes,no,unknown,9,may,617,4,-1,0,unknown,yes,first middle
31,technician,single,tertiary,no,22.0,yes,no,unknown,9,may,483,3,-1,0,unknown,yes,first middle
43,blue-collar,single,secondary,no,3.0,yes,no,unknown,9,may,929,3,-1,0,unknown,yes,second middle
31,admin.,married,secondary,no,307.0,yes,no,unknown,9,may,538,1,-1,0,unknown,yes,first middle
28,blue-collar,single,secondary,no,759.0,yes,no,unknown,9,may,710,1,-1,0,unknown,yes,young
32,blue-collar,married,secondary,yes,-1.0,yes,no,unknown,9,may,653,1,-1,0,unknown,yes,first middle
60,technician,married,primary,no,65.0,yes,no,unknown,9,may,1028,2,-1,0,unknown,yes,old
26,blue-collar,single,secondary,no,82.0,yes,no,unknown,9,may,654,1,-1,0,unknown,yes,young
40,blue-collar,married,secondary,no,10.0,yes,no,unknown,9,may,1692,2,-1,0,unknown,yes,second middle
33,blue-collar,divorced,primary,no,390.0,yes,no,unknown,9,may,665,2,-1,0,unknown,yes,first middle
32,management,single,tertiary,no,311.0,no,no,unknown,12,may,757,2,-1,0,unknown,yes,first middle
35,blue-collar,married,primary,no,414.0,no,no,unknown,13,may,504,4,-1,0,unknown,yes,first middle
33,management,divorced,secondary,no,5.0,yes,no,unknown,13,may,1346,1,-1,0,unknown,yes,first middle
38,management,married,tertiary,no,119.0,yes,no,unknown,13,may,568,4,-1,0,unknown,yes,first middle
23,entrepreneur,single,primary,no,4.0,yes,no,unknown,13,may,395,2,-1,0,unknown,yes,young
60,blue-collar,married,primary,no,1262.0,yes,yes,unknown,13,may,1015,1,-1,0,unknown,yes,old
48,management,married,tertiary,no,1949.0,yes,no,unknown,13,may,683,2,-1,0,unknown,yes,second middle
45,entrepreneur,divorced,tertiary,no,-395.0,yes,no,unknown,13,may,470,1,-1,0,unknown,yes,second middle
36,blue-collar,married,secondary,no,1165.0,yes,no,unknown,13,may,1001,4,-1,0,unknown,yes,first middle
52,management,married,secondary,no,2240.0,yes,no,unknown,13,may,845,1,-1,0,unknown,yes,adult
35,blue-collar,divorced,primary,no,300.0,yes,no,unknown,13,may,945,2,-1,0,unknown,yes,first middle
43,technician,married,secondary,no,3285.0,yes,no,unknown,13,may,1721,2,-1,0,unknown,yes,second middle
52,housemaid,married,secondary,no,3923.0,yes,no,unknown,14,may,942,3,-1,0,unknown,yes,adult
53,technician,divorced,primary,no,1443.0,yes,no,unknown,14,may,476,1,-1,0,unknown,yes,adult
48,blue-collar,divorced,primary,no,24.0,yes,no,unknown,14,may,832,1,-1,0,unknown,yes,second middle
41,blue-collar,single,primary,no,1618.0,yes,no,unknown,14,may,1553,1,-1,0,unknown,yes,second middle
39,management,divorced,tertiary,no,517.0,yes,yes,unknown,14,may,1328,1,-1,0,unknown,yes,first middle
59,retired,married,secondary,no,1521.0,yes,yes,unknown,14,may,1125,2,-1,0,unknown,yes,adult
41,blue-collar,married,secondary,no,2823.0,yes,no,unknown,14,may,858,1,-1,0,unknown,yes,second middle
48,blue-collar,married,secondary,no,1405.0,yes,no,unknown,14,may,629,2,-1,0,unknown,yes,second middle
40,admin.,married,secondary,no,1535.0,yes,no,unknown,14,may,704,1,-1,0,unknown,yes,second middle
48,blue-collar,married,secondary,no,1596.0,yes,no,unknown,14,may,760,1,-1,0,unknown,yes,second middle
60,retired,married,primary,no,1542.0,yes,no,unknown,14,may,930,1,-1,0,unknown,yes,old
40,technician,single,secondary,no,3652.0,yes,no,unknown,14,may,1028,2,-1,0,unknown,yes,second middle
57,technician,married,tertiary,no,-1.0,no,no,unknown,14,may,850,2,-1,0,unknown,yes,adult
41,blue-collar,married,secondary,no,1384.0,yes,no,unknown,15,may,1162,4,-1,0,unknown,yes,second middle
52,blue-collar,divorced,primary,no,-191.0,yes,no,unknown,15,may,755,1,-1,0,unknown,yes,adult
59,blue-collar,married,primary,no,320.0,yes,no,unknown,15,may,695,1,-1,0,unknown,yes,adult
44,blue-collar,married,secondary,no,146.0,yes,no,unknown,15,may,483,1,-1,0,unknown,yes,second middle
49,management,married,primary,no,341.0,yes,yes,unknown,15,may,520,2,-1,0,unknown,yes,second middle
40,services,married,primary,no,-9.0,yes,no,unknown,15,may,920,2,-1,0,unknown,yes,second middle
41,admin.,married,primary,no,-306.0,yes,no,unknown,15,may,500,1,-1,0,unknown,yes,second middle
60,services,single,primary,no,313.0,yes,no,unknown,15,may,920,2,-1,0,unknown,yes,old
41,retired,divorced,primary,no,-233.0,yes,no,unknown,15,may,1156,2,-1,0,unknown,yes,second middle
